product,product_information,price,price_ordinary,customer_discount_percentage,customer_offer_valid_from,customer_offer_valid_to,member_offer,member_offer_available_from,member_offer_available_to,product_link,member_price,member_price_valid_from,member_price_valid_to,produkter_kategorier,links
Frø Ert,"Marg-, Alderman, høy",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-ert-marg-alderman-hoy-200194,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKo'}]"
Frø Reddik,Københavns Torv 2,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-reddik-kobenhavns-torv-2-200184,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKp'}]"
Frø Asters,Amerikan,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-asters-amerikan-200197,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKq'}]"
Frø Fløyelsblomst,"Crackerjack, høy",24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-floyelsblomst-crackerjack-hoy-200161,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKr'}]"
Frø Valmue,"Pion-, blandede farger",14.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-valmue-pion-blandede-farger-200135,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKs'}]"
Frø Mainepe,Golden Ball,24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-mainepe-golden-ball-200147,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKt'}]"
Frø Stemorsblomst,"Hiemalis, Tidlig, bl.farg",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-stemorsblomst-hiemalis-tidlig-bl-farg-200215,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKu'}]"
Frø Prydløvemunn,Høy,24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-prydlovemunn-hoy-200155,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKv'}]"
Frø Purre,"Herbstriesen 2, høst",24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-purre-herbstriesen-2-host-200144,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKw'}]"
Frø Mainepe,Snowball,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-mainepe-snowball-200181,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKx'}]"
